# sent_id = aa_000
# text = T'ad faagail bee ec oaieyn ny merriu.
1-2	T'ad	_	_	_	_	_	_	_	
23	as	as	CCONJ	_	_	24	cc	_	agus
24	dooyrt	abbyr	VERB	_	Mood=Ind|Tense=Past	2	conj	_	dúradar
25	ad	ad	PRON	_	_	24	nsubj	_	
26	,	,	PUNCT	_	_	28	punct	_	,
27	Dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	28	nmod:poss	_	Do
28	vraar	braar	NOUN	_	_	24	parataxis	_	dheartháir
29	Ben-hadad	Ben-hadad	PROPN	_	_	28	appos	_	Bein Hadad
30	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_096
# text = As ta ram doo-oalleeyn vooar ass towse ayn.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	tá
3	ram	ram	NOUN	_	_	2	nsubj	_	neart
4	doo-oalleeyn	doo-oallee	NOUN	_	_	3	nmod	_	doo-oalleeyn
5	vooar	mooar	ADJ	_	_	4	amod	_	mór
6	ass	ass	ADP	_	_	7	case	_	as cuimse
7	towse	towse	NOUN	_	_	5	obl	_	
8-9	ayn	_	_	_	_	_	_	_	
8	ayns	ayns	ADP	_	_	9	case	_	ann
9	eh	eh	PRON	_	_	2	xcomp:pred	_	
10	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_097
# text = As dooyrt ad rish, Bee dty host, cur dty laue er dty veeal, as tar mârin, as bee oo dooin son ayr as saggyrt: cre share dhyt dy ve dty haggyrt da thie un dooinney, ny dy ve dty haggyrt da tribe as kynney ayns Israel?
# text_ga = Dúradar leis: "Bí i do thost!  Cuir do lámh thar do bhéal agus téanam linn, agus bí i d'athair agus i do shagart againn.  An fearr duit a bheith i do shagart do theaghlach aon duine amháin, nó a bheith i do shagart do threibh agus d'fhine in Iosrael?"
# text_en = And they said unto him, Hold thy peace, lay thine hand upon thy mouth, and go with us, and be to us a father and a priest: is it better for thee to be a priest unto the house of one man, or that thou be a priest unto a tribe and a family in Israel?
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	dooyrt	abbyr	VERB	_	Mood=Ind|Tense=Past	0	root	_	dúradar
3	ad	ad	PRON	_	_	2	nsubj	_	
4-5	rish	_	_	_	_	_	_	_	
4	rish	rish	ADP	_	_	5	case	_	leis
5	eh	eh	PRON	_	_	2	obl	_	
6	,	,	PUNCT	_	_	7	punct	_	,
7	Bee	bee	VERB	_	Mood=Imp|Number=Sing|Person=2	2	parataxis	_	Bí
8	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	9	nmod:poss	_	i do thost
9	host	tost	NOUN	_	_	7	xcomp:pred	_	
10	,	,	PUNCT	_	_	11	punct	_	,
11	cur	cur	VERB	_	Mood=Imp|Number=Sing|Person=2	7	conj	_	cuir
12	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	13	nmod:poss	_	do
13	laue	laue	NOUN	_	_	11	nsubj	_	lámh
14	er	er	ADP	_	_	16	case	_	ar do
15	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	16	nmod:poss	_	
16	veeal	beeal	NOUN	_	_	11	obl	_	bhéal
17	,	,	PUNCT	_	_	19	punct	_	,
18	as	as	CCONJ	_	_	19	cc	_	agus
19	tar	tar	VERB	_	Mood=Imp|Number=Sing|Person=2	7	conj	_	tar
20-21	mârin	_	_	_	_	_	_	_	
20	marish	marish	ADP	_	_	21	case	_	in éineacht linn
21	shin	shin	PRON	_	_	19	obl	_	
22	,	,	PUNCT	_	_	24	punct	_	,
23	as	as	CCONJ	_	_	24	cc	_	agus
24	bee	bee	VERB	_	Mood=Imp|Number=Sing|Person=2	7	conj	_	beidh
25	oo	oo	PRON	_	_	24	nsubj	_	tú
26-27	dooin	_	_	_	_	_	_	_	
26	da	da	ADP	_	_	27	case	_	dúinn
27	shin	shin	PRON	_	_	24	obl	_	
28	son	son	ADP	_	_	29	case	_	mar
29	ayr	ayr	NOUN	_	_	24	xcomp:pred	_	athair
30	as	as	CCONJ	_	_	31	cc	_	agus
31	saggyrt	saggyrt	NOUN	_	_	29	conj	_	sagart
32	:	:	PUNCT	_	_	33	punct	_	:
33	cre	cre	PRON	_	_	2	parataxis	_	céard
34	share	mie	ADJ	_	_	31	amod	_	is fearr
35-36	dhyt	_	_	_	_	_	_	_	
35	da	da	ADP	_	_	36	case	_	duit
36	oo	oo	PRON	_	_	34	obl	_	
37	dy	dy	ADP	_	_	38	case	_	a bheith
38	ve	ve	NOUN	_	_	34	csubj:cop	_	
39	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	40	nmod:poss	_	i do
40	haggyrt	saggyrt	NOUN	_	_	38	xcomp:pred	_	shagart
41	da	da	ADP	_	_	42	case	_	do
42	thie	thie	NOUN	_	_	40	nmod	_	teach
43	un	un	NUM	_	_	44	nummod	_	aon
44	dooinney	dooinney	NOUN	_	_	42	nmod	_	duine
45	,	,	PUNCT	_	_	48	punct	_	,
46	ny	ny	CCONJ	_	_	48	cc	_	nó
47	dy	dy	ADP	_	_	48	case	_	a bheith
48	ve	ve	NOUN	_	_	38	conj	_	
49	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	50	nmod:poss	_	i do
50	haggyrt	saggyrt	NOUN	_	_	48	xcomp:pred	_	shagart
51	da	da	ADP	_	_	52	case	_	do
52	tribe	tribe	NOUN	_	_	50	nmod	_	treibh
53	as	as	CCONJ	_	_	54	cc	_	agus
54	kynney	kynney	NOUN	_	_	52	conj	_	cine
55	ayns	ayns	ADP	_	_	56	case	_	in
56	Israel	Israel	PROPN	_	_	52	nmod	_	Iosrael
57	?	?	PUNCT	_	_	2	punct	_	?

# sent_id = aa_098
# text = Ta: bee dagh unnane ta cheet gys Yeesey dy jarroo er ny hauail: son t'eh er n'okley magh dy "bee dy chooilley pheccah as raa mollaghtagh er ny leih" da'n arryssagh firrinagh.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
2	:	:	PUNCT	_	_	3	punct	_	:
3	bee	bee	VERB	_	Mood=Ind|Tense=Fut	1	parataxis	_	beidh
4	dagh	dagh	DET	_	_	5	det	_	gach
5	unnane	unnane	NOUN	_	_	3	nsubj	_	ceann
6	ta	bee	VERB	_	Mood=Ind|Tense=Pres	5	acl:relcl	_	atá
7	cheet	cheet	NOUN	_	_	6	xcomp	_	ag teacht
8	gys	gys	ADP	_	_	9	case	_	go dtí
9	Yeesey	Yeesey	PROPN	_	_	7	obl	_	Íosa
10	dy	dy	PART	_	_	11	mark	_	go deimhin
11	jarroo	jarroo	ADJ	_	_	3	advmod	_	
12	er	er	ADP	_	_	14	case	_	á shábháil
13	ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	14	nmod:poss	_	
14	hauail	sauail	NOUN	_	_	3	xcomp:pred	_	
15	:	:	PUNCT	_	_	17	punct	_	:
16	son	son	SCONJ	_	_	17	mark	_	óir tá sé
17-18	t'eh	_	_	_	_	_	_	_	
17	t'	bee	VERB	_	Mood=Ind|Tense=Pres	3	advcl	_	
18	eh	eh	PRON	_	_	17	nsubj	_	
19	er	er	ADP	_	_	20	case	_	ar
20-21	n'okley	_	_	_	_	_	_	_	
20	n'	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	21	nmod:poss	_	n'okley
21	okley	fockley	NOUN	_	Typo=Yes	17	xcomp:pred	_	
22	magh	magh	ADV	_	_	21	advmod	_	amach
23	dy	dy	PART	_	_	25	mark	_	go
24	"	"	PUNCT	_	_	25	punct	_	"
25	bee	bee	VERB	_	Mood=Ind|Tense=Fut	21	ccomp	_	mbeidh
26	dy	dy	DET	_	_	28	det	_	gach uile
27	chooilley	chooilley	DET	_	_	26	fixed	_	
28	pheccah	peccah	NOUN	_	_	25	nsubj	_	pheaca
29	as	as	CCONJ	_	_	30	cc	_	agus
30	raa	raa	NOUN	_	_	28	conj	_	focail
31	mollaghtagh	mollaghtagh	ADJ	_	_	30	amod	_	mallachtaigh
32	er	er	ADP	_	_	34	case	_	á maitheamh
33	ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	34	nmod:poss	_	
34	leih	leih	NOUN	_	_	25	xcomp:pred	_	
35	"	"	PUNCT	_	_	25	punct	_	"
36-37	da'n	_	_	_	_	_	_	_	
36	da	da	ADP	_	_	38	case	_	don
37	yn	yn	DET	_	_	38	det	_	
38	arryssagh	arryssagh	NOUN	_	_	25	obl	_	aithríoch
39	firrinagh	firrinagh	ADJ	_	_	38	amod	_	fírinneach
40	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_099
# text = Un chaa keyl – tayrtyn eh lesh ooilley ny druggaghyn v'echey.
1	Un	un	NUM	_	_	2	nummod	_	An t-aon
2	chaa	caa	NOUN	_	_	0	root	_	dheis
3	keyl	keyl	ADJ	_	_	2	amod	_	caol
4	–	–	PUNCT	_	_	5	punct	_	–
5	tayrtyn	tayrtyn	NOUN	_	_	2	parataxis	_	gabháil
6	eh	eh	PRON	_	_	5	obj	_	é
7	lesh	lesh	ADP	_	_	8	case	_	le
8	ooilley	ooilley	NOUN	_	_	6	nmod	_	gach ceann de na
9	ny	ny	DET	_	_	10	det	_	
10	druggaghyn	druggey	NOUN	_	_	8	nmod	_	drugaí
11-13	v'echey	_	_	_	_	_	_	_	
11	v'	bee	VERB	_	Mood=Ind|Tense=Past	10	acl:relcl	_	a bhí aige
12	ec	ec	ADP	_	_	13	case	_	
13	eh	eh	PRON	_	_	11	xcomp:pred	_	
14	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_100
# text = Cha jean oo conaant erbee roosyn, ny rish ny jeeghyn oc.
# text_ga = Ná déan conradh ar bith leo, ná lena ndéithe.
1	Cha	cha	PART	_	_	2	mark	_	Ní
2	jean	jean	VERB	_	Mood=Imp|Number=Sing|Person=2	0	root	_	dhéanfaidh
3	oo	oo	PRON	_	_	2	nsubj	_	tú
4	conaant	conaant	NOUN	_	_	2	obj	_	conradh
5	erbee	erbee	ADJ	_	_	4	amod	_	ar bith
6-7	roosyn	_	_	_	_	_	_	_	
6	rish	rish	ADP	_	_	7	case	_	leosan
7	adsyn	ad	PRON	_	_	2	obl	_	
8	,	,	PUNCT	_	_	12	punct	_	,
9	ny	ny	CCONJ	_	_	12	cc	_	nó
10	rish	rish	ADP	_	_	12	case	_	leis
11	ny	ny	DET	_	_	12	det	_	na
12	jeeghyn	jee	NOUN	_	_	7	conj	_	déithe
13-14	oc	_	_	_	_	_	_	_	
13	ec	ec	ADP	_	_	14	case	_	acu
14	ad	ad	PRON	_	_	12	nmod	_	
15	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_101
# text = Cre'n raad ta dty ghraih er ghoaill, O uss s'aalin ta mastey mraane?
# text_ga = Cá ndeachaigh do ghrá uait, a phlúr na mban
1-2	Cre'n	_	_	_	_	_	_	_	
1	Cre	cre	PRON	_	_	0	root	_	Cá bhfuil
2	'n	yn	DET	_	_	3	det	_	
3	raad	raad	NOUN	_	_	1	nsubj	_	
4	ta	bee	VERB	_	Mood=Ind|Tense=Pres	3	acl:relcl	_	
5	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	6	nmod:poss	_	do
6	ghraih	graih	NOUN	_	_	4	nsubj	_	ghrá
7	er	er	ADP	_	_	8	case	_	tar éis gabháil
8	ghoaill	goaill	NOUN	_	_	4	xcomp	_	
9	,	,	PUNCT	_	_	11	punct	_	,
10	O	o	INTJ	_	_	11	discourse	_	Ó
11	uss	oo	PRON	_	_	1	vocative	_	tusa
12-13	s'aalin	_	_	_	_	_	_	_	
12	s'	she	PART	_	_	13	mark	_	is áille
13	aalin	aalin	ADJ	_	_	11	amod	_	
14	ta	bee	VERB	_	Mood=Ind|Tense=Pres	11	acl:relcl	_	atá
15	mastey	mastey	ADP	_	_	16	case	_	i measc
16	mraane	ben	NOUN	_	_	14	xcomp:pred	_	mná
17	?	?	PUNCT	_	_	1	punct	_	?

# sent_id = aa_102
# text = As ren eh loopey queig curtanyn dy cheilley: as ny queig curtanyn elley loop eh dy cheilley.
# text_ga = Cheangail sé cúig bhrat dá chéile agus mar an gcéanna leis na cúig cinn eile.
# text_en = He joined five curtains to one another and the other five curtains he joined to one another.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	rinne
3	eh	eh	PRON	_	_	2	nsubj	_	sé
4	loopey	loopey	NOUN	_	_	2	xcomp	_	loopey
5	queig	queig	NUM	_	_	6	nummod	_	cúig
6	curtanyn	curtan	NOUN	_	_	4	obj	_	cuirtíní
7	dy	dy	ADP	_	_	8	case	_	le chéile
8	cheilley	cheilley	NOUN	_	_	4	obl	_	
9	:	:	PUNCT	_	_	15	punct	_	:
10	as	as	CCONJ	_	_	15	cc	_	agus
11	ny	ny	DET	_	_	12	det	_	na
12	queig	queig	NUM	_	_	13	nummod	_	cúig
13	curtanyn	curtan	NOUN	_	_	15	obj	_	cuirtíní
14	elley	elley	ADJ	_	_	13	amod	_	eile
15	loop	loop	VERB	_	Mood=Ind|Tense=Past	2	conj	_	loop
16	eh	eh	PRON	_	_	15	nsubj	_	sé
17	dy	dy	ADP	_	_	18	case	_	le chéile
18	cheilley	cheilley	NOUN	_	_	15	obl	_	
19	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_103
# text = Steven Corkill, ass Poyll Roish, hooar eh baase ayns Thie-Lheihys Noble er yn çheyoo laa jeig Mean Souree nurree - v'eh feddynit dy row cocaine dy liooar syn 'uill echey eh y varroo.
1	Steven	Steven	PROPN	_	_	0	root	_	Steven
2	Corkill	Corkill	PROPN	_	_	1	flat	_	Corkill
3	,	,	PUNCT	_	_	5	punct	_	,
4	ass	ass	ADP	_	_	5	case	_	as
5	Poyll	poyll	PROPN	_	_	1	nmod	_	Linn
6	Roish	Roish	PROPN	_	_	5	flat	_	Roimhe
7	,	,	PUNCT	_	_	8	punct	_	,
8	hooar	fow	VERB	_	Mood=Ind|Tense=Past	1	parataxis	_	fuair
9	eh	eh	PRON	_	_	8	nsubj	_	sé
10	baase	baase	NOUN	_	_	8	obj	_	bás
11	ayns	ayns	ADP	_	_	12	case	_	in
12	Thie-Lheihys	thie-lheihys	NOUN	_	_	8	obl	_	Ospidéal
13	Noble	Noble	PROPN	_	_	12	flat	_	Noble
14	er	er	ADP	_	_	17	case	_	ar
15	yn	yn	DET	_	_	17	det	_	an
16	çheyoo	sheyoo	NUM	_	_	17	amod	_	séú
17	laa	laa	NOUN	_	_	8	obl	_	lá
18	jeig	jeig	NOUN	_	_	16	compound	_	déag
19	Mean	mean	NOUN	_	_	17	nmod	_	Meitheamh
20	Souree	sourey	NOUN	_	_	19	fixed	_	
21	nurree	nurree	ADV	_	_	8	advmod	_	anuraidh
22	-	-	PUNCT	_	_	23	punct	_	-
23-24	v'eh	_	_	_	_	_	_	_	
23	v'	bee	VERB	_	Mood=Ind|Tense=Past	8	parataxis	_	bhí sé
24	eh	eh	PRON	_	_	23	nsubj	_	
25	feddynit	feddynit	ADJ	_	_	23	xcomp:pred	_	faighte
26	dy	dy	PART	_	_	27	mark	_	go raibh
27	row	bee	VERB	_	Mood=Ind|Tense=Past	25	ccomp	_	
28	cocaine	cocaine	NOUN	_	_	27	nsubj	_	cócaon
29	dy	dy	PART	_	_	30	mark	_	go leor
30	liooar	liooar	ADJ	_	_	28	amod	_	
31-32	syn	_	_	_	_	_	_	_	
31	ayns	ayns	ADP	_	_	33	case	_	san
32	yn	yn	DET	_	_	33	det	_	
33	'uill	fuill	NOUN	_	_	28	nmod	_	fhuil
34-35	echey	_	_	_	_	_	_	_	
34	ec	ec	ADP	_	_	35	case	_	aige
35	eh	eh	PRON	_	_	33	nmod	_	
36	eh	eh	PRON	_	_	38	obj	_	é
37	y	y	ADP	_	_	38	mark	_	a
38	varroo	marroo	NOUN	_	_	27	xcomp	_	mharú
39	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_104
# text = As loayr ad rish Moses, gra, Ta'n pobble coyrt lhieu foddey smoo ny ta ymmyrchagh son shirveish yn obbyr, ta'n Chiarn er harey dy ve jeant.
# text_ga = agus dúradar le Maois: "Tá breis thar mar is gá don obair a d'ordaigh an Tiarna dúinn a chur i gcrích á thabhairt ag na daoine."
# text_en = And they spake unto Moses, saying, The people bring much more than enough for the service of the work, which the LORD commanded to make.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	loayr	loayr	VERB	_	Mood=Ind|Tense=Past	0	root	_	labhraíodar
3	ad	ad	PRON	_	_	2	nsubj	_	
4	rish	rish	ADP	_	_	5	case	_	le
5	Moses	Moses	PROPN	_	_	2	obl	_	Maois
6	,	,	PUNCT	_	_	7	punct	_	,
7	gra	gra	NOUN	_	_	2	advcl	_	a rá
8	,	,	PUNCT	_	_	9	punct	_	,
9-10	Ta'n	_	_	_	_	_	_	_	
9	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	7	parataxis	_	Tá an
10	'n	yn	DET	_	_	11	det	_	
11	pobble	pobble	NOUN	_	_	9	nsubj	_	pobal
12	coyrt	coyrt	NOUN	_	_	9	xcomp	_	cur
13-14	lhieu	_	_	_	_	_	_	_	
13	lesh	lesh	ADP	_	_	14	case	_	leo
14	ad	ad	PRON	_	_	12	obl	_	
15	foddey	foddey	ADV	_	_	16	advmod	_	i bhfad níos mó
16	smoo	mooar	ADJ	_	_	12	amod	_	
17	ny	ny	SCONJ	_	_	18	mark	_	ná
18	ta	bee	VERB	_	Mood=Ind|Tense=Pres	16	advcl	_	mar atá
19	ymmyrchagh	ymmyrchagh	ADJ	_	_	18	xcomp:pred	_	riachtanach
20	son	son	ADP	_	_	21	case	_	ar son
21	shirveish	shirveish	NOUN	_	_	19	obl	_	seirbhís
22	yn	yn	DET	_	_	23	det	_	an
23	obbyr	obbyr	NOUN	_	_	21	nmod	_	obair
24	,	,	PUNCT	_	_	25	punct	_	,
25-26	ta'n	_	_	_	_	_	_	_	
25	ta	bee	VERB	_	Mood=Ind|Tense=Pres	23	acl:relcl	_	tá an
26	'n	yn	DET	_	_	27	det	_	
27	Chiarn	chiarn	NOUN	_	_	25	nsubj	_	Tiarna
28	er	er	ADP	_	_	29	case	_	tar éis ordú
29	harey	sarey	NOUN	_	_	25	xcomp	_	
30	dy	dy	ADP	_	_	31	case	_	a bheith
31	ve	ve	NOUN	_	_	29	xcomp	_	
32	jeant	jeant	ADJ	_	_	31	xcomp:pred	_	déanta
33	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_105
# text = S'messey e vaggyrt na e vuilley.
# text_ga = Is measa a bhagairt ná a bhuille.
1-2	S'messey	_	_	_	_	_	_	_	
1	S'	she	AUX	_	_	2	cop	_	Is measa
2	messey	olk	ADJ	_	_	0	root	_	
3	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	4	nmod:poss	_	a
4	vaggyrt	baggyrt	NOUN	_	_	2	csubj:cop	_	bhagairt
5	na	na	ADP	_	_	7	case	_	ná
6	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	7	nmod:poss	_	a
7	vuilley	builley	NOUN	_	_	2	obl	_	bhuille
8	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_106
# text = Ayns y Thalloo Vretnagh ta ny smoo na feed oltey cronnal jeh Cymdeithas yr Iaith Gymraeg (Sheshaght yn Ghlare Vretnagh, CIG) er cheau kiare oor as feed nyn drostey as ad gymmyrkey feanish noi'n reiltys Vretnagh ta cur lesh slattys noa stiagh mychione plannal thieyn nagh vel, cordail rish CIG, goaill stiagh kiarailyn dy liooar dy choadey yn Vretnish ayns buill raad t'ee goll er loayrt myr çhengey yn theay.
# text_en = In Wales more than twenty prominent members of Cymdeithas yr Iaith Gymraeg (the Welsh Language Society, CIG) have spent twenty-four hours on hunger strike in protest against the Welsh governments’ new planning bill, which CIG claim does not include sufficient provisions to protect Welsh-speaking communities.
1	Ayns	ayns	ADP	_	_	3	case	_	Sa
2	y	yn	DET	_	_	3	det	_	
3	Thalloo	thalloo	PROPN	_	_	5	obl	_	Talamh
4	Vretnagh	Bretnagh	ADJ	_	_	3	amod	_	Bhreatnach
5	ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	tá
6	ny	ny	PART	_	_	7	mark	_	níos mó
7	smoo	mooar	ADJ	_	_	9	advmod	_	
8	na	na	ADP	_	_	7	fixed	_	ná
9	feed	feed	NUM	_	_	10	nummod	_	fiche
10	oltey	oltey	NOUN	_	_	5	nsubj	_	ball
11	cronnal	cronnal	ADJ	_	_	10	amod	_	suntasach
12	jeh	jeh	ADP	_	_	13	case	_	de
13	Cymdeithas	Cymdeithas	PROPN	_	_	10	nmod	_	Cymdeithas
14	yr	yr	PROPN	_	_	13	flat:foreign	_	yr
15	Iaith	Iaith	PROPN	_	_	13	flat:foreign	_	Iaith
16	Gymraeg	Gymraeg	PROPN	_	_	13	flat:foreign	_	Gymraeg
17	(	(	PUNCT	_	_	18	punct	_	(
18	Sheshaght	sheshaght	NOUN	_	_	13	appos	_	Cumann
19	yn	yn	DET	_	_	20	det	_	an
20	Ghlare	glare	NOUN	_	_	18	nmod	_	Chaint
21	Vretnagh	Bretnagh	ADJ	_	_	20	amod	_	Bhreatnach
22	,	,	PUNCT	_	_	23	punct	_	,
23	CIG	CIG	PROPN	_	_	18	conj	_	CIG
24	)	)	PUNCT	_	_	18	punct	_	)
25	er	er	ADP	_	_	26	case	_	tar éis caitheamh
26	cheau	ceau	NOUN	_	_	5	xcomp	_	
27	kiare	kiare	NUM	_	_	28	nummod	_	ceithre
28	oor	oor	NOUN	_	_	26	obj	_	huaire
29	as	as	CCONJ	_	_	30	cc	_	agus
30	feed	feed	NUM	_	_	28	conj	_	fiche
31	nyn	nyn	DET	_	Number=Plur|Person=3|Poss=Yes	32	nmod:poss	_	ina
32	drostey	trostey	NOUN	_	_	26	obl	_	dtroscadh
33	as	as	SCONJ	_	_	34	mark	_	agus
34	ad	ad	PRON	_	_	5	advcl	_	iad
35	gymmyrkey	ymmyrkey	NOUN	_	_	34	xcomp	_	ag iompar
36	feanish	feanish	NOUN	_	_	35	obj	_	fianaise
37-38	noi'n	_	_	_	_	_	_	_	
37	noi	noi	ADP	_	_	39	case	_	in aghaidh an
38	'n	yn	DET	_	_	39	det	_	
39	reiltys	reiltys	NOUN	_	_	35	obl	_	rialtais
40	Vretnagh	Bretnagh	ADJ	_	_	39	amod	_	Bhreatnacha
41	ta	bee	VERB	_	Mood=Ind|Tense=Pres	39	acl:relcl	_	tá
42	cur	cur	NOUN	_	_	41	xcomp	_	cur
43	lesh	lesh	ADP	_	_	44	case	_	le
44	slattys	slattys	NOUN	_	_	42	obl	_	dlí
45	noa	noa	ADJ	_	_	44	amod	_	nua
46	stiagh	stiagh	ADV	_	_	42	advmod	_	isteach
47	mychione	mychione	ADP	_	_	48	case	_	faoi
48	plannal	plannal	NOUN	_	_	44	nmod	_	pleanáil
49	thieyn	thie	NOUN	_	_	48	nmod	_	tithe
50	nagh	nagh	PART	_	_	51	mark	_	nach bhfuil
51	vel	bee	VERB	_	Mood=Ind|Tense=Pres	44	acl:relcl	_	
52	,	,	PUNCT	_	_	53	punct	_	,
53	cordail	cordail	NOUN	_	_	51	advcl	_	de réir
54	rish	rish	ADP	_	_	55	case	_	
55	CIG	CIG	PROPN	_	_	53	obl	_	CIG
56	,	,	PUNCT	_	_	53	punct	_	,
57	goaill	goaill	NOUN	_	_	51	xcomp	_	ag gabháil
58	stiagh	stiagh	ADV	_	_	57	advmod	_	isteach
59	kiarailyn	kiarail	NOUN	_	_	57	obj	_	forálacha
60	dy	dy	PART	_	_	61	mark	_	go leor
61	liooar	liooar	ADJ	_	_	59	amod	_	
62	dy	dy	ADP	_	_	63	case	_	le cosaint
63	choadey	coadey	NOUN	_	_	57	xcomp	_	
64	yn	yn	DET	_	_	65	det	_	an
65	Vretnish	Bretnish	PROPN	_	_	63	obj	_	Bhreatnais
66	ayns	ayns	ADP	_	_	67	case	_	in
67	buill	boayl	NOUN	_	_	63	obl	_	áiteanna
68	raad	raad	ADV	_	_	69	advmod	_	
69-70	t'ee	_	_	_	_	_	_	_	
69	t'	bee	VERB	_	Mood=Ind|Tense=Pres	67	acl:relcl	_	atá sí
70	ee	ee	PRON	_	_	69	nsubj	_	
71	goll	goll	NOUN	_	_	69	xcomp	_	á labhairt
72	er	er	ADP	_	_	73	case	_	
73	loayrt	loayrt	NOUN	_	_	71	xcomp	_	
74	myr	myr	ADP	_	_	75	case	_	mar
75	çhengey	çhengey	NOUN	_	_	73	obl	_	teanga
76	yn	yn	DET	_	_	77	det	_	an
77	theay	theay	NOUN	_	_	75	nmod	_	pobal
78	.	.	PUNCT	_	_	5	punct	_	.

# sent_id = aa_107
# text = V'ad ooilley ayns fardail.
1-2	V'ad	_	_	_	_	_	_	_	
1	V'	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	Bhí siad
2	ad	ad	PRON	_	_	1	nsubj	_	
3	ooilley	ooilley	ADJ	_	_	2	amod	_	uile
4	ayns	ayns	ADP	_	_	5	case	_	in aisce
5	fardail	fardail	NOUN	_	_	1	xcomp:pred	_	
6	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_108
# text = Va cramman echey dou.
# text_ga = Bhí drochrún aige dom.
# text_en = He bore me ill-will.
1	Va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	Bhí
2	cramman	cramman	NOUN	_	_	1	nsubj	_	cnaipe
3-4	echey	_	_	_	_	_	_	_	
3	ec	ec	ADP	_	_	4	case	_	aige
4	eh	eh	PRON	_	_	1	xcomp:pred	_	
5-6	dou	_	_	_	_	_	_	_	
5	da	da	ADP	_	_	6	case	_	dom
6	mee	mee	PRON	_	_	1	obl	_	
7	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_109
# text = As harroosyn va mysh obbyr magheragh, as messyn y thallooin, va Ezri, mac Ghelub.
# text_ga = bhí Eizrí mac Chalúb ina mhaor ar lucht saothraithe na talún ag obair sna goirt;
# text_en = And over them that did the work of the field for tillage of the ground was Ezri the son of Chelub:
1	As	as	CCONJ	_	_	14	cc	_	Agus
2-3	harroosyn	_	_	_	_	_	_	_	
2	harrish	harrish	ADP	_	_	3	case	_	tharstusan
3	adsyn	ad	PRON	_	_	14	xcomp:pred	_	
4	va	bee	VERB	_	Mood=Ind|Tense=Past	3	acl:relcl	_	bhí
5	mysh	mysh	ADP	_	_	6	case	_	faoi
6	obbyr	obbyr	NOUN	_	_	4	xcomp:pred	_	obair
7	magheragh	magher	NOUN	_	_	6	nmod	_	réimse
8	,	,	PUNCT	_	_	10	punct	_	,
9	as	as	CCONJ	_	_	10	cc	_	agus
10	messyn	mess	NOUN	_	_	3	conj	_	torthaí
11	y	yn	DET	_	_	12	det	_	an
12	thallooin	thalloo	NOUN	_	_	10	nmod	_	talaimh
13	,	,	PUNCT	_	_	10	punct	_	,
14	va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	bhí
15	Ezri	Ezri	PROPN	_	_	14	nsubj	_	Ezri
16	,	,	PUNCT	_	_	17	punct	_	,
17	mac	mac	NOUN	_	_	15	appos	_	mac
18	Ghelub	Ghelub	PROPN	_	_	17	nmod	_	Ghelub
19	.	.	PUNCT	_	_	14	punct	_	.

# sent_id = aa_110
# text = Cre cho mennick as oddagh eh shen y yannoo, yinnagh eh gliooney sheese as goaill padjer rish y Chiarn dy ve livreyit veih e vondiaght liorish aghin ny Moidyn Bannee (son va ennym ny Moidyn er y Vanishter raad v'eh goit dy molteyragh).
